root_entity,hop,src_tx_hash,src_address,src_value,dest_tx_hash,dest_address,dest_value,output_index,epoch_no,block_time,is_shelley,stake_address_id,stake_address_view
IOG,4,237f5cdb11ff000f2634a6b3368f4dda2b74ec2b9378e10a0fb531e3d04a454f,DdzFFzCqrhsfJsnfh4hUt7gjVZmnaGmkvcKk14t4Upj26SNkGYLUGJZe9pMFaDdzRnYkan4mQJ26HKt1tyM763SPQCpHqViJedUny5pK,62089000000,7b1fab5415751526342c82824f809107c1a5929c6d21ba3e20c8dbf9d19e7416,addr1qyfagg47zs0qqf8ghkj9h0zsxdm5d4u7e4785x46q3tl2ggglgqtnn9uym6h9xwjqq8ealrs7ydwpuggescf6pltmcjqt5saff,277804110872,0,208,2020-07-30 10:24:31+00,t,6534,stake1uyy05q9eej7zdatjn8fqqru7l3c0zxhq7yyvcvyaql4aufqw2p6kj
IOG,4,7e9f942088210b873baa0b6d0764a459b65eee32d709880eccb51e26e9a2e95b,DdzFFzCqrhsfJsnfh4hUt7gjVZmnaGmkvcKk14t4Upj26SNkGYLUGJZe9pMFaDdzRnYkan4mQJ26HKt1tyM763SPQCpHqViJedUny5pK,20107000000,6489151a0bfd4ed4fb90818acda22b17a3636392d0ce37a13cf21fd42c4af17a,addr1qxh8krzj4hnlujw2c692tr6l6m72q8cpakwdnumv4tdxv6f7a6gt2v77zp3669tp2k8nc864rxfnczppkd6qylepdpnss7lrz2,81741074308,0,208,2020-07-30 10:28:31+00,t,6390,stake1uylway94x00pqcadz4s4treura23nyeupqsmxaqz0usksecnw097t
IOG,4,bc323a5d42068ddd325390c8337d0978fc8b00ebf061b4171ebc42ea910b323a,DdzFFzCqrhsfJsnfh4hUt7gjVZmnaGmkvcKk14t4Upj26SNkGYLUGJZe9pMFaDdzRnYkan4mQJ26HKt1tyM763SPQCpHqViJedUny5pK,19922000000,25cf220da43cf9c9003aaceae9ce3ca495de7c46e0fc5952aab3e72bfd6d2b60,addr1q8ym2aaxnrpwl3fx0k8ud9gwxtvrjfc6e3unjte5n8lmqala72h8w9n62mvvautw50k3hf0ka9ahnmpxrd8akwkkcjksdazefs,95003114452,1,208,2020-07-30 10:38:31+00,t,6086,stake1u87l9tnhzea9dkxw79h28mgm5hmwj7measnpkn7m8ttvftguyd0pc
IOG,4,f4b4189a2620a2eadb992307bbbb880a372891a466e9cc448b25bd0749e5798e,DdzFFzCqrhsfJsnfh4hUt7gjVZmnaGmkvcKk14t4Upj26SNkGYLUGJZe9pMFaDdzRnYkan4mQJ26HKt1tyM763SPQCpHqViJedUny5pK,40758000000,047d6220be13ec0702916d0f2ff8a6c5de5b9fb543c450bb5edcc5abcb65a50f,addr1qxepusktw829uktsd6kv6t8wjzfkfae7ak424h6mmc4n04pypdr95fn58uh4yr62j3r0d2mcpx96vvp06k54wlze350smhchmk,29906374150,1,208,2020-07-30 11:44:31+00,t,6650,stake1uyjqk3j6ye6r7t6jpa9fg3hk4duqnzaxxqhat22h03vc68cz7d65e
IOG,4,2aaf2b3e138b489b256a8a2dce32b39740ba08a3e69c2ec16550cb808532f218,DdzFFzCqrhsfJsnfh4hUt7gjVZmnaGmkvcKk14t4Upj26SNkGYLUGJZe9pMFaDdzRnYkan4mQJ26HKt1tyM763SPQCpHqViJedUny5pK,17875000000,047d6220be13ec0702916d0f2ff8a6c5de5b9fb543c450bb5edcc5abcb65a50f,addr1qxepusktw829uktsd6kv6t8wjzfkfae7ak424h6mmc4n04pypdr95fn58uh4yr62j3r0d2mcpx96vvp06k54wlze350smhchmk,29906374150,1,208,2020-07-30 11:44:31+00,t,6650,stake1uyjqk3j6ye6r7t6jpa9fg3hk4duqnzaxxqhat22h03vc68cz7d65e
IOG,4,66eddff53ce9ad95c4494bdbfe761cf77c2a0fe546f43f2572172e718e70b185,DdzFFzCqrhsfJsnfh4hUt7gjVZmnaGmkvcKk14t4Upj26SNkGYLUGJZe9pMFaDdzRnYkan4mQJ26HKt1tyM763SPQCpHqViJedUny5pK,82723000000,dd5fdf4814e723d48ca5e15b186fa8d0be03ae88584914894c6fbe15fa2d1676,addr1q8m4j8rzc0yscv397tqgu5e4h60z535txpn70gejwfckxj30gtrtqpymfaga3dlmsuh05l0gp2zgxdmpe3dl8tstfjgs7j845m,1000000882383,0,208,2020-07-30 12:02:11+00,t,7155,stake1uyh5934sqjd575wcklacwth60h5q4pyrxasuckln4c95eyguvyszu
IOG,4,09de3362b979dbef36d0ed2da4bf7aa8560ed1ce8e762b44fe0d6af214f003b7,DdzFFzCqrhsfJsnfh4hUt7gjVZmnaGmkvcKk14t4Upj26SNkGYLUGJZe9pMFaDdzRnYkan4mQJ26HKt1tyM763SPQCpHqViJedUny5pK,26175000000,5d46510891f9ee6f9668b95980d6c7a9ba5e60a6c9e3c3aff6da79b26a5bf944,addr1q9f90w7f86rpdtkykwg038yg9jey3lcwcjs89m6e0dyumw4wzt9xu5m9dpuf532k783lee6d2vmk22qtzr2f2wfgp02qsnt7ne,137883979560,1,208,2020-07-30 12:32:51+00,t,3019,stake1uxhp9jnw2djks7y6g4t0rcluuax4xdm99q93p4y48y5qh4q72x5p3
IOG,4,1cc7dce672a9344c0545df7ea66f421f412c6e1cd0d6d7d470ba86645449dab8,DdzFFzCqrhsfJsnfh4hUt7gjVZmnaGmkvcKk14t4Upj26SNkGYLUGJZe9pMFaDdzRnYkan4mQJ26HKt1tyM763SPQCpHqViJedUny5pK,154720000000,9104ee83bcf58b5098cb83f23380e247ce69126cd30f854d813439e1c73e3609,addr1qyx07qg006ppg8gd7xcc8dpm2ec2229qxm97s2wv9gv0j5fnvg6fhzc5xlqugsetwzkv4fyu8rrphlzxkkgaw49tlgtq88k7lc,533676878503,0,208,2020-07-30 13:11:31+00,t,45,stake1uyekydym3v2r0swygv4hptx25jwr33sml3rttywh2j4l59swlcdxs
IOG,4,7efd0f70a742a4361b4da55d5b8d87237207ef4e259527d402457fe6ff2b4578,DdzFFzCqrhsfJsnfh4hUt7gjVZmnaGmkvcKk14t4Upj26SNkGYLUGJZe9pMFaDdzRnYkan4mQJ26HKt1tyM763SPQCpHqViJedUny5pK,20548000000,9104ee83bcf58b5098cb83f23380e247ce69126cd30f854d813439e1c73e3609,addr1qyx07qg006ppg8gd7xcc8dpm2ec2229qxm97s2wv9gv0j5fnvg6fhzc5xlqugsetwzkv4fyu8rrphlzxkkgaw49tlgtq88k7lc,533676878503,0,208,2020-07-30 13:11:31+00,t,45,stake1uyekydym3v2r0swygv4hptx25jwr33sml3rttywh2j4l59swlcdxs
IOG,4,a9e4e437735fa74169d93f2d70def1a33a7c4ed282b74612637d0ba1f8e3a14e,DdzFFzCqrhsfJsnfh4hUt7gjVZmnaGmkvcKk14t4Upj26SNkGYLUGJZe9pMFaDdzRnYkan4mQJ26HKt1tyM763SPQCpHqViJedUny5pK,82345000000,877ec3a16d4593cc2ab31af2e2ff6617033bd2f180e7c8363d66a82d34ce22cd,addr1qxtwlhlw0n9ps5ewnm4cqwnktkjg3wndmf0mwqx3tjaeuljuuue2fcwkccp9wgdn4fpgh550s624jtmjze3aw46r6m7qw2arjq,185299400000,0,208,2020-07-30 13:59:11+00,t,6704,stake1u9wwwv4yu8tvvqjhyxe65s5t628cd92e9aepvc7h2apadlqp3jvgr
IOG,4,50d21ac5f7e38a0297dca36e6b870aee6424b8c073a8d801f8112974f8d44d06,DdzFFzCqrhsfJsnfh4hUt7gjVZmnaGmkvcKk14t4Upj26SNkGYLUGJZe9pMFaDdzRnYkan4mQJ26HKt1tyM763SPQCpHqViJedUny5pK,45810000000,78e5488cab5a8b8bf18e8e1df8b7f546907bdec1a5f8b6c8a8abf830a2c5ea61,addr1q9g0cgyrlyd7xm2hg6ggzunrv4xl9k344asklhqeudkmalkk69k2j9v799jek8ujya5mjl73nuv6ykqsfjgn0epxc6dqstgrnc,212434378166,1,208,2020-07-30 14:14:11+00,t,6787,stake1u8tdzm9fzk0zjevmr7fzw6de0lge7xdztqgyeyfhusnvdxsfa8dtl
IOG,4,18fa09fa1a9cf3c9af9a4f64776a8a9ac17ea423d2fc1c71c577ada6403bf2a8,DdzFFzCqrht3Gmi2RUHN8f728jPQCmpRnMibYjnQc6yp1gcbvENcEdG4kYqSbS9sQs5k9A2wmueUFm75eqhuN9DH88X4WFPZ6iGuR9Rj,250656980000,a7f437c22b75a332633ae64619e0e2b45540d86cdd2120f65f9663d613a6e46b,addr1qx5n75zzy3vmk3ytqxhyyzkm4t7lma6tuj8dpvgp3pmpazr4vm22cd0g7dr8r3kz903zrmlaxtryuu9v2v7k5yead52sq6dcer,12186470000,1,208,2020-07-30 14:35:51+00,t,8200,stake1u96kd49vxh50x3n3cmpzhc3pal7n93jwwzk9x0t2zv7k69gz8ssn8
IOG,4,f28a2493a397cea1b2874cb533ff186c08d963a412ace74ea92adc93eab373db,DdzFFzCqrht3Gmi2RUHN8f728jPQCmpRnMibYjnQc6yp1gcbvENcEdG4kYqSbS9sQs5k9A2wmueUFm75eqhuN9DH88X4WFPZ6iGuR9Rj,561423660000,edccc3062cdf10356214348aec9d70aed4f26b75092d1410c4a6f5764e717c91,addr1q8aw3yfum8q6txyc2dtxwhmsg35fgza0hhtlxnpngf3sup42ghajdvnzdlgmj8dk3l3wgsvfqlkltr0srlfpfqsszyxsvkt9ar,33833400000,1,208,2020-07-30 14:45:51+00,t,8013,stake1ux4yt7exkf3xl5derkmglchygxys0m043hcpl5s5sggpzrgmpvncz
IOG,4,6ff81474c036415976e4f0aceeb0664ce2769590af40e8372bc57f2f4472b922,DdzFFzCqrhsfJsnfh4hUt7gjVZmnaGmkvcKk14t4Upj26SNkGYLUGJZe9pMFaDdzRnYkan4mQJ26HKt1tyM763SPQCpHqViJedUny5pK,43036000000,810ff9c08a68fce21f84047e24df639ed67db1202cc5adb08cbdc83d678a5c8f,addr1q90m5l7dwl2rzga78fmevqnq0l595fujfhdlxjrs9559k2mehvvp4d2hw2ukr2yr523yuua9g9hpvvm4s97gnzvn7ysqwvd57v,17079163739,1,208,2020-07-30 15:36:51+00,t,6293,stake1u9umkxq6k4th9wtp4zp69gjwwwj5zmskxd6czlyf3xflzgqqwu8s2
IOG,4,0f817ebcdd03437f36be3e69ef86805eda45ac1bd7bab4615f645fee5016aba4,DdzFFzCqrhsfJsnfh4hUt7gjVZmnaGmkvcKk14t4Upj26SNkGYLUGJZe9pMFaDdzRnYkan4mQJ26HKt1tyM763SPQCpHqViJedUny5pK,25642000000,8473c3c033003a6b1bbd46919c64c32b03f09e5c8988eb16427dd8896ae7783b,addr1qxld8e8gexevwz6ngje9ms2d94u9sms8va8d8zd9vdey50tm6u5rt4qwhtzlgv704mrdu26txjqreg4sseqmuh8uzrzql5e5qe,22677600000,1,208,2020-07-30 16:20:51+00,t,6668,stake1u9aaw2p46s8t4305x086a3k79d9nfqpu52cgvsd7tn7pp3qh83msy
IOG,4,071258279539e7022d674aa268917bf36f6d92f185a5ad3e6d892b6bf0b49202,DdzFFzCqrhsfJsnfh4hUt7gjVZmnaGmkvcKk14t4Upj26SNkGYLUGJZe9pMFaDdzRnYkan4mQJ26HKt1tyM763SPQCpHqViJedUny5pK,88180000000,09fe8768fc299c7fdc337349eb6e058a617bb3d8befd977a2b3e23fd60689617,addr1qxd573znx3rp6d0surav4r7ge884r0wv5x34x9flnl4tnknjv3h9xmr8pjhrlvj5e0e6kn84kdncl2sjantckgr3yjls04vvmg,99999400000,1,208,2020-07-30 16:51:31+00,t,1723,stake1u9exgmjnd3nset3lkf2vhuatfn6mxeu04gfwe4utypcjf0cpfn6h0
IOG,4,69449d20a97c95de1f9ad89d875d4f39358c5e6bc35663d6d6e098e7abffe6a4,DdzFFzCqrhsfJsnfh4hUt7gjVZmnaGmkvcKk14t4Upj26SNkGYLUGJZe9pMFaDdzRnYkan4mQJ26HKt1tyM763SPQCpHqViJedUny5pK,20354000000,113088e2c247142716c5f0e037b923c7e4d01824f65f8aa48c123031a461f51c,addr1qx07m5mkhu65c5fmau9glhzt8743n7605prysaq7uqy5wvnwn4mt7092g4t6clgs2ktw5dsn34nvpapkpk6ac62k544q9ufznu,99999400000,1,208,2020-07-30 17:34:51+00,t,9230,stake1u9hf6a4l8j4y24av05g9t9h2xcfc6ekq7smqmdwud9t226szt2ywz
IOG,4,d82f5cbd5bcc1ef7c0bdd5c356455c6cbb1d5e64c1440a714c45f6adf48bd16f,DdzFFzCqrhsfJsnfh4hUt7gjVZmnaGmkvcKk14t4Upj26SNkGYLUGJZe9pMFaDdzRnYkan4mQJ26HKt1tyM763SPQCpHqViJedUny5pK,20515000000,1e39407a66f74e45c605470a26ac0caf9933bc036d6423dee0b6386942471c2e,addr1qx42wqp7jraffp2sn6mr6yka38fxedm74dw4wvsnkftkrvlk20x7f29ch5fmy38429eup6tc8gg9w4ahzfv2gwqx0zlser8gwk,174092489099,0,208,2020-07-30 18:34:11+00,t,25715,stake1u8m98n0y4zut6yajgn64zu7qa9ur5yzh27m3yk9y8qr830c2r5vy5
IOG,4,01807eff7a9600f24a7a9553cfc5b5d4a08b99375f604a99022898f04a57aaeb,DdzFFzCqrhsfJsnfh4hUt7gjVZmnaGmkvcKk14t4Upj26SNkGYLUGJZe9pMFaDdzRnYkan4mQJ26HKt1tyM763SPQCpHqViJedUny5pK,20094000000,1a7319b44d4de655e6027060e86c11fee63648d5ff25d604b158acd3b70d116e,addr1q8z5en8lrdhkhlm359nkp8nnureqm3gywgffn9a5xed0paak57v9z3w9thgmkg6ntdrhga2kxvg7rsnmtxh4fsxry8gqtx5lrj,100400400000,1,208,2020-07-30 18:34:31+00,t,29280,stake1uxm20xz3ghz4m5dmydf4k3m5w4trxy0pcfa4nt65crpjr5q3077j5
