mechanism,entity,amount_ada,items,entity_key
intersect,"Cardano Blockchain Melbourne, Australia - 3rd May 2024",0.0,1,"intersect:Cardano Blockchain Melbourne, Australia - 3rd May 2024"
intersect,"Clay Labs Digital - Lisbon, Portugal - 27th May 2024",0.0,1,"intersect:Clay Labs Digital - Lisbon, Portugal - 27th May 2024"
intersect,"Curitiba, Brazil - 4th September 2024",0.0,1,"intersect:Curitiba, Brazil - 4th September 2024"
intersect,"Paraguay, South America ,5th July 2024",0.0,1,"intersect:Paraguay, South America ,5th July 2024"
intersect,"Remostart Limited, Lagos, Nigeria - 22nd June 2024",0.0,1,"intersect:Remostart Limited, Lagos, Nigeria - 22nd June 2024"
intersect,"Rio de Janeiro, Brazil - July 24th to 26th",0.0,1,"intersect:Rio de Janeiro, Brazil - July 24th to 26th"
intersect,Martin Lang,0.0,1,intersect:Martin Lang
intersect,Miguel A Cabrera,0.0,1,intersect:Miguel A Cabrera
intersect,Obsidian Systems,0.0,1,intersect:Obsidian Systems
intersect,Satya Ranjan,0.0,1,intersect:Satya Ranjan
intersect,SundaeSwap Labs,0.0,1,intersect:SundaeSwap Labs
