cohort,title,grant_value_ada,flags,url,last_updated,external_links
2,Proposal Discussion Forum,135000,NO_DELIVERABLE_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-2/proposal-discussion-forum,1 year ago,https://docs.google.com/document/d/142ZSNq1DPkAOLt_a3SVtTfkBZn6SUnAH36726c3E8nI/edit?usp=drive_link https://docs.google.com/document/d/1Ev6e_u0_3RGosBPmp0hSkhc8mCYbYU2d4-I5mbYzYdM/edit?usp=drive_link https://docs.google.com/document/d/1lyoYGhW3qIt7cmx1YkwTVB_WDtDKZ0uPvwN8Hl_5qb8/edit?usp=drive_link https://drive.google.com/file/d/1_PtkVUkWb83k8UGk8BHUZRx7i_hWrCll/view?usp=drive_link https://drive.google.com/file/d/1edOEIlt_aYBq7etxAnsUq9xLFA-Q9JGR/view?usp=drive_link https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
2,DRep Campaign Platform,130000,NO_DELIVERABLE_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-2/drep-campaign-platform,1 year ago,https://drive.google.com/file/d/19j9z1UAfdG2NpxAqnPHrBLoulnOVfoLa/view?usp=sharing https://drive.google.com/file/d/1G0GsmkJm3Ew1USelYjXyfTCM2EPuBP1T/view?usp=sharing https://drive.google.com/file/d/1HGs1VaWCAJbu-_cIZ9ElA2rNMG84iAsE/view?usp=drive_link https://drive.google.com/file/d/1IlX8q6j5zSwUlOSBKTuL0f6bl7hv55Vg/view?usp=drive_link https://drive.google.com/file/d/1ORuhTrnO85-hK_UJRXk7zDJB8Pw4k-H_/view?usp=drive_link https://drive.google.com/file/d/1QP9XxhrUsvn1ZR9Pa7n1RhEgd-ZrvU0W/view?usp=drive_link https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
2,Constitutional Committee Portal,128500,NO_DELIVERABLE_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-2/constitutional-committee-portal,1 year ago,https://drive.google.com/file/d/192nEFZM1LzQsNAO4ij93pBjB4yEZYqt4/view?usp=sharing https://drive.google.com/file/d/1OS7mYsDau_LRkVUl1wRrtWSEnRFpY7_E/view?usp=drive_link https://drive.google.com/file/d/1PY8BM7u0nXthbS2-48Ygdw4U4ebADfPr/view?usp=sharing https://drive.google.com/file/d/1RHHd2FNti3gsM53Ey-f4jDtCgi9N5q8B/view?usp=drive_link https://drive.google.com/file/d/1UNb7UoUdGym4qfFP2iWIT46NUoSnzocF/view?usp=drive_link https://drive.google.com/file/d/1y2cFmynyacv6_7UEp6HJwYwiSYAMC-WS/view?usp=drive_link https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
