cohort,title,grant_value_ada,flags,url,last_updated,external_links
4,Summon Snapshot Voting on Interim Constitutional Committee,158000,NO_DELIVERABLE_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-4/summon-snapshot-voting-on-interim-constitutional-committee,1 year ago,https://drive.google.com/file/d/1bSFMvYhEGPOulyzQs1uKCBYZr09F4DuH/view?usp=drive_link https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
4,Voting Tool for the Constitutional Convention,102500,NO_DELIVERABLE_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-4/voting-tool-for-the-constitutional-convention,1 year ago,https://drive.google.com/file/d/1F-W-eYIWw_6LCK_cqOHZy0Zsy1l0jXLY/view?usp=drive_link https://drive.google.com/file/d/1N5xWU-3HwPRJgtfTrKsXErR0DNLsuoRb/view?usp=sharing https://drive.google.com/file/d/1fNDA9r2Z43FsK_X8xQJcOpvYp-ixxEdS/view?usp=sharing https://drive.google.com/file/d/1kp-QarDuFKcB1fmYCGSFbrVfuRQ8kL3h/view?usp=sharing https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
4,Additional Governance features,90000,NO_DELIVERABLE_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-4/additional-governance-features,1 year ago,https://drive.google.com/file/d/1DzRwFEqQi1dnq--Q97r5k2IuGtfEZlqV/view?usp=sharing https://drive.google.com/file/d/1Ef3RJXeTo-w_DcSKdqJaMLfKMGFhsClc/view?usp=sharing https://drive.google.com/file/d/1LlslmkJ9wdXejD2rtvAzmywMZ9KElxFH/view?usp=sharing https://drive.google.com/file/d/1tyj_Pj1I47EyGE4_iRl3rdP2QqAiRrSO/view https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
4,Consensus 2024 Cardano Marketing,75000,NO_DELIVERABLE_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-4/consensus-2024-cardano-marketing,9 months ago,https://drive.google.com/file/d/12lYeWyaG-cJP4Mbjvc-hot7mZ0w9GbVQ/view https://drive.google.com/file/d/17G48Zq3sTR_UxMnEw7dMATtlo8m5056H/view https://drive.google.com/file/d/1Q8guYT1sXF8ruaAR6VeLP4ADoSTHV86M/view https://drive.google.com/file/d/1dLxkUFRPHhkEYR4GkCNjLVVhr_jWkH-6/view?usp=sharing https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
4,Membership NFT Platform,35000,NO_DELIVERABLE_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-4/membership-nft-platform,11 months ago,https://drive.google.com/file/d/18Fxk-zMkIuZ19Jr6oUnAoWvoBh2zzq1Q/view?usp=drive_link https://drive.google.com/file/d/1Z8TYLzeDPLyYXntF_lgFyngbpQe8Ms2C/view?usp=sharing https://drive.google.com/file/d/1iHuxSnSanJUI3E7UnhtNAli5Px0774QF/view?usp=drive_link https://drive.google.com/file/d/1my7Bgzbpt5Mdqz12AwyM2KHUGQ3WzZKg/view?usp=drive_link https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
4,Community Hubs,,MISSING_GRANT_VALUE;NO_DELIVERABLE_LINKS;NO_REPORTING_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-4/community-hubs,1 year ago,https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
4,"Africa (Ghana, DRC & Kenya)",,MISSING_GRANT_VALUE;NO_DELIVERABLE_LINKS;NO_REPORTING_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-4/community-hubs/africa-ghana-drc-and-kenya,1 year ago,https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
4,Europe,,MISSING_GRANT_VALUE;NO_DELIVERABLE_LINKS;NO_REPORTING_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-4/community-hubs/europe,1 year ago,https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
4,Japan,,MISSING_GRANT_VALUE;NO_DELIVERABLE_LINKS;NO_REPORTING_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-4/community-hubs/japan,1 year ago,https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
4,"LATAM (Brazil, Argentina, Colombia & Mexico)",,MISSING_GRANT_VALUE;NO_DELIVERABLE_LINKS;NO_REPORTING_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-4/community-hubs/latam-brazil-argentina-colombia-and-mexico,1 year ago,https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
