root_entity,category,label,hit_count,total_ada,first_epoch,last_epoch
IOG,TRACED_FROM_FOUNDER,IOG_GENESIS_TRACED,5177,3043946686.05115500,208,490
IOG,CEX,BINANCE,2,7921587.000000000000,27,27
