root_entity,hop,epoch_no,block_time,dest_address,dest_tx_hash,dest_ada,stake_address_view,label,category,confidence,matched_on,explorer_link
IOG,4,27,2018-02-06 06:53:11+00,DdzFFzCqrhsfkegDcdUJAGBRoUP2LVakkby6ntdckcURzBsKmNJ7HmQ6LBwLZxTRVBvhZzuFuX9KUpraDcqhJavm35yeXgS2keJPHfKB,893a195a124cb10a33105974e47b10402dd39ee4791579e18577578eb6f84f25,5878892.000000000000,,BINANCE,CEX,high,payment,https://cardanoscan.io/transaction/893a195a124cb10a33105974e47b10402dd39ee4791579e18577578eb6f84f25
IOG,4,27,2018-02-06 07:17:51+00,DdzFFzCqrhsfkegDcdUJAGBRoUP2LVakkby6ntdckcURzBsKmNJ7HmQ6LBwLZxTRVBvhZzuFuX9KUpraDcqhJavm35yeXgS2keJPHfKB,753ff5403e23c15abba5a6aa6597b078e1fffedd4a80e769b199c918e8bbde81,2042695.000000000000,,BINANCE,CEX,high,payment,https://cardanoscan.io/transaction/753ff5403e23c15abba5a6aa6597b078e1fffedd4a80e769b199c918e8bbde81
